frequency_ghz,s11_db,sample_id,measurement_id,label,data_source
1.6875,-11.941886573340966,C01-S001,C01-S001-M01,Normal,SIMULATED
1.69125,-11.835075808648021,C01-S001,C01-S001-M01,Normal,SIMULATED
1.695,-11.30717442449049,C01-S001,C01-S001-M01,Normal,SIMULATED
1.69875,-12.019342664817058,C01-S001,C01-S001-M01,Normal,SIMULATED
1.7025,-11.473856514768356,C01-S001,C01-S001-M01,Normal,SIMULATED
1.70625,-12.274753482725071,C01-S001,C01-S001-M01,Normal,SIMULATED
1.71,-11.876710418824969,C01-S001,C01-S001-M01,Normal,SIMULATED
1.71375,-11.734563520463238,C01-S001,C01-S001-M01,Normal,SIMULATED
1.7175,-11.615450167952039,C01-S001,C01-S001-M01,Normal,SIMULATED
1.72125,-11.586648359409116,C01-S001,C01-S001-M01,Normal,SIMULATED
1.725,-11.571471262177896,C01-S001,C01-S001-M01,Normal,SIMULATED
1.72875,-11.924297777136113,C01-S001,C01-S001-M01,Normal,SIMULATED
1.7325,-11.969320970329028,C01-S001,C01-S001-M01,Normal,SIMULATED
1.73625,-11.58487142165014,C01-S001,C01-S001-M01,Normal,SIMULATED
1.74,-11.911999680525437,C01-S001,C01-S001-M01,Normal,SIMULATED
1.74375,-12.250334490555794,C01-S001,C01-S001-M01,Normal,SIMULATED
1.7475,-12.22129031597782,C01-S001,C01-S001-M01,Normal,SIMULATED
1.75125,-12.171448907278897,C01-S001,C01-S001-M01,Normal,SIMULATED
1.755,-11.7613846412871,C01-S001,C01-S001-M01,Normal,SIMULATED
1.75875,-11.883311391917326,C01-S001,C01-S001-M01,Normal,SIMULATED
1.7625,-11.73496143703661,C01-S001,C01-S001-M01,Normal,SIMULATED
1.7662499999999999,-12.08688665040048,C01-S001,C01-S001-M01,Normal,SIMULATED
1.77,-11.928262050018512,C01-S001,C01-S001-M01,Normal,SIMULATED
1.77375,-11.80574192068916,C01-S001,C01-S001-M01,Normal,SIMULATED
1.7774999999999999,-12.10427213068656,C01-S001,C01-S001-M01,Normal,SIMULATED
1.78125,-11.892910306687599,C01-S001,C01-S001-M01,Normal,SIMULATED
1.785,-12.247392033901884,C01-S001,C01-S001-M01,Normal,SIMULATED
1.78875,-12.17696917593439,C01-S001,C01-S001-M01,Normal,SIMULATED
1.7925,-12.202151031579456,C01-S001,C01-S001-M01,Normal,SIMULATED
1.7962500000000001,-12.466266382203832,C01-S001,C01-S001-M01,Normal,SIMULATED
1.8,-11.98158600223116,C01-S001,C01-S001-M01,Normal,SIMULATED
1.80375,-12.288910423906968,C01-S001,C01-S001-M01,Normal,SIMULATED
1.8075,-12.164972599608761,C01-S001,C01-S001-M01,Normal,SIMULATED
1.81125,-12.045317746658231,C01-S001,C01-S001-M01,Normal,SIMULATED
1.815,-12.076564093197005,C01-S001,C01-S001-M01,Normal,SIMULATED
1.81875,-12.032021846060216,C01-S001,C01-S001-M01,Normal,SIMULATED
1.8225,-12.282401170939096,C01-S001,C01-S001-M01,Normal,SIMULATED
1.82625,-12.40114001071409,C01-S001,C01-S001-M01,Normal,SIMULATED
1.83,-12.31941119778651,C01-S001,C01-S001-M01,Normal,SIMULATED
1.83375,-12.823065742736594,C01-S001,C01-S001-M01,Normal,SIMULATED
1.8375,-12.772368483684431,C01-S001,C01-S001-M01,Normal,SIMULATED
1.84125,-12.756389855242652,C01-S001,C01-S001-M01,Normal,SIMULATED
1.845,-12.680052557740748,C01-S001,C01-S001-M01,Normal,SIMULATED
1.84875,-12.282176755762132,C01-S001,C01-S001-M01,Normal,SIMULATED
1.8525,-12.694895258533258,C01-S001,C01-S001-M01,Normal,SIMULATED
1.85625,-12.55773631529586,C01-S001,C01-S001-M01,Normal,SIMULATED
1.8599999999999999,-12.075431595950489,C01-S001,C01-S001-M01,Normal,SIMULATED
1.86375,-12.592853032404333,C01-S001,C01-S001-M01,Normal,SIMULATED
1.8675,-12.28534058115368,C01-S001,C01-S001-M01,Normal,SIMULATED
1.8712499999999999,-12.807137893447292,C01-S001,C01-S001-M01,Normal,SIMULATED
1.875,-12.608967321835696,C01-S001,C01-S001-M01,Normal,SIMULATED
1.87875,-12.852444479983301,C01-S001,C01-S001-M01,Normal,SIMULATED
1.8825,-12.689062259401839,C01-S001,C01-S001-M01,Normal,SIMULATED
1.88625,-12.354983540710807,C01-S001,C01-S001-M01,Normal,SIMULATED
1.8900000000000001,-13.14480370500405,C01-S001,C01-S001-M01,Normal,SIMULATED
1.89375,-12.51562116107527,C01-S001,C01-S001-M01,Normal,SIMULATED
1.8975,-12.593780887105078,C01-S001,C01-S001-M01,Normal,SIMULATED
1.90125,-12.862318566935926,C01-S001,C01-S001-M01,Normal,SIMULATED
1.905,-13.136690285145416,C01-S001,C01-S001-M01,Normal,SIMULATED
1.90875,-12.699872044887313,C01-S001,C01-S001-M01,Normal,SIMULATED
1.9125,-12.89884929492718,C01-S001,C01-S001-M01,Normal,SIMULATED
1.91625,-12.688558594736762,C01-S001,C01-S001-M01,Normal,SIMULATED
1.92,-12.770054794146967,C01-S001,C01-S001-M01,Normal,SIMULATED
1.92375,-12.314237262917143,C01-S001,C01-S001-M01,Normal,SIMULATED
1.9275,-12.884675083750443,C01-S001,C01-S001-M01,Normal,SIMULATED
1.93125,-13.137980542461948,C01-S001,C01-S001-M01,Normal,SIMULATED
1.935,-12.795208446884116,C01-S001,C01-S001-M01,Normal,SIMULATED
1.93875,-12.801083518834186,C01-S001,C01-S001-M01,Normal,SIMULATED
1.9425,-12.477486911387498,C01-S001,C01-S001-M01,Normal,SIMULATED
1.94625,-12.65298063460349,C01-S001,C01-S001-M01,Normal,SIMULATED
1.95,-12.814877760080424,C01-S001,C01-S001-M01,Normal,SIMULATED
1.9537499999999999,-12.501574816117891,C01-S001,C01-S001-M01,Normal,SIMULATED
1.9575,-13.316073257876228,C01-S001,C01-S001-M01,Normal,SIMULATED
1.96125,-13.170554259856766,C01-S001,C01-S001-M01,Normal,SIMULATED
1.9649999999999999,-13.276148818743499,C01-S001,C01-S001-M01,Normal,SIMULATED
1.96875,-13.13508918631606,C01-S001,C01-S001-M01,Normal,SIMULATED
1.9725,-13.451608660273246,C01-S001,C01-S001-M01,Normal,SIMULATED
1.97625,-12.869067010341738,C01-S001,C01-S001-M01,Normal,SIMULATED
1.98,-13.147911141523112,C01-S001,C01-S001-M01,Normal,SIMULATED
1.98375,-13.544813507159386,C01-S001,C01-S001-M01,Normal,SIMULATED
1.9875,-13.431343514977096,C01-S001,C01-S001-M01,Normal,SIMULATED
1.99125,-13.056563167207818,C01-S001,C01-S001-M01,Normal,SIMULATED
1.995,-12.924057413317808,C01-S001,C01-S001-M01,Normal,SIMULATED
1.99875,-12.602368412810979,C01-S001,C01-S001-M01,Normal,SIMULATED
2.0025,-12.354221502081458,C01-S001,C01-S001-M01,Normal,SIMULATED
2.00625,-13.13223835352331,C01-S001,C01-S001-M01,Normal,SIMULATED
2.01,-13.58288185211021,C01-S001,C01-S001-M01,Normal,SIMULATED
2.01375,-13.956463189445634,C01-S001,C01-S001-M01,Normal,SIMULATED
2.0175,-13.268826831549553,C01-S001,C01-S001-M01,Normal,SIMULATED
2.02125,-13.62686864428349,C01-S001,C01-S001-M01,Normal,SIMULATED
2.025,-13.543087663743163,C01-S001,C01-S001-M01,Normal,SIMULATED
2.02875,-13.639344271584228,C01-S001,C01-S001-M01,Normal,SIMULATED
2.0324999999999998,-13.537018949722432,C01-S001,C01-S001-M01,Normal,SIMULATED
2.03625,-13.215974741517453,C01-S001,C01-S001-M01,Normal,SIMULATED
2.04,-13.531647892385209,C01-S001,C01-S001-M01,Normal,SIMULATED
2.04375,-13.671434728586663,C01-S001,C01-S001-M01,Normal,SIMULATED
2.0475,-13.981786569004118,C01-S001,C01-S001-M01,Normal,SIMULATED
2.05125,-14.22297518367314,C01-S001,C01-S001-M01,Normal,SIMULATED
2.0549999999999997,-13.918237147542222,C01-S001,C01-S001-M01,Normal,SIMULATED
2.05875,-13.842599395397325,C01-S001,C01-S001-M01,Normal,SIMULATED
2.0625,-13.352589555591319,C01-S001,C01-S001-M01,Normal,SIMULATED
2.06625,-13.902798549116461,C01-S001,C01-S001-M01,Normal,SIMULATED
2.07,-13.708387779575862,C01-S001,C01-S001-M01,Normal,SIMULATED
2.07375,-14.216732193984242,C01-S001,C01-S001-M01,Normal,SIMULATED
2.0775,-14.488532719478838,C01-S001,C01-S001-M01,Normal,SIMULATED
2.08125,-14.491005318598782,C01-S001,C01-S001-M01,Normal,SIMULATED
2.085,-14.489688295982758,C01-S001,C01-S001-M01,Normal,SIMULATED
2.08875,-13.706343487654996,C01-S001,C01-S001-M01,Normal,SIMULATED
2.0925000000000002,-14.666028702654103,C01-S001,C01-S001-M01,Normal,SIMULATED
2.09625,-14.244572605859492,C01-S001,C01-S001-M01,Normal,SIMULATED
2.1,-14.84505720126231,C01-S001,C01-S001-M01,Normal,SIMULATED
2.10375,-14.374052619451264,C01-S001,C01-S001-M01,Normal,SIMULATED
2.1075,-14.618359404455191,C01-S001,C01-S001-M01,Normal,SIMULATED
2.11125,-14.861774533493028,C01-S001,C01-S001-M01,Normal,SIMULATED
2.115,-14.908166367862526,C01-S001,C01-S001-M01,Normal,SIMULATED
2.11875,-15.17329643556148,C01-S001,C01-S001-M01,Normal,SIMULATED
2.1225,-14.923237072939882,C01-S001,C01-S001-M01,Normal,SIMULATED
2.1262499999999998,-15.27249525703464,C01-S001,C01-S001-M01,Normal,SIMULATED
2.13,-15.58079617389181,C01-S001,C01-S001-M01,Normal,SIMULATED
2.13375,-15.67118160734532,C01-S001,C01-S001-M01,Normal,SIMULATED
2.1375,-15.307657029204284,C01-S001,C01-S001-M01,Normal,SIMULATED
2.14125,-14.953647637278506,C01-S001,C01-S001-M01,Normal,SIMULATED
2.145,-15.442985639276614,C01-S001,C01-S001-M01,Normal,SIMULATED
2.1487499999999997,-15.585215872695171,C01-S001,C01-S001-M01,Normal,SIMULATED
2.1525,-15.516939358381965,C01-S001,C01-S001-M01,Normal,SIMULATED
2.15625,-15.257795014072602,C01-S001,C01-S001-M01,Normal,SIMULATED
2.16,-15.624007910249299,C01-S001,C01-S001-M01,Normal,SIMULATED
2.16375,-15.846182751264895,C01-S001,C01-S001-M01,Normal,SIMULATED
2.1675,-15.416565790071084,C01-S001,C01-S001-M01,Normal,SIMULATED
2.17125,-15.637536129952844,C01-S001,C01-S001-M01,Normal,SIMULATED
2.175,-15.315101119895065,C01-S001,C01-S001-M01,Normal,SIMULATED
2.17875,-15.722368408856932,C01-S001,C01-S001-M01,Normal,SIMULATED
2.1825,-16.138031480698437,C01-S001,C01-S001-M01,Normal,SIMULATED
2.1862500000000002,-16.166430462988476,C01-S001,C01-S001-M01,Normal,SIMULATED
2.19,-15.238135190451686,C01-S001,C01-S001-M01,Normal,SIMULATED
2.19375,-15.186177007964524,C01-S001,C01-S001-M01,Normal,SIMULATED
2.1975,-15.71980698512367,C01-S001,C01-S001-M01,Normal,SIMULATED
2.20125,-15.7368472595008,C01-S001,C01-S001-M01,Normal,SIMULATED
2.205,-15.133179551121874,C01-S001,C01-S001-M01,Normal,SIMULATED
2.20875,-15.847796049769004,C01-S001,C01-S001-M01,Normal,SIMULATED
2.2125,-15.723118889256202,C01-S001,C01-S001-M01,Normal,SIMULATED
2.21625,-15.196293047535347,C01-S001,C01-S001-M01,Normal,SIMULATED
2.2199999999999998,-15.438466401162783,C01-S001,C01-S001-M01,Normal,SIMULATED
2.22375,-15.249246948633449,C01-S001,C01-S001-M01,Normal,SIMULATED
2.2275,-15.221814767544492,C01-S001,C01-S001-M01,Normal,SIMULATED
2.23125,-14.994618082626637,C01-S001,C01-S001-M01,Normal,SIMULATED
2.235,-14.595351834126635,C01-S001,C01-S001-M01,Normal,SIMULATED
2.23875,-14.911248059119112,C01-S001,C01-S001-M01,Normal,SIMULATED
2.2424999999999997,-14.665673201833052,C01-S001,C01-S001-M01,Normal,SIMULATED
2.24625,-15.394381326242684,C01-S001,C01-S001-M01,Normal,SIMULATED
2.25,-14.714857951791505,C01-S001,C01-S001-M01,Normal,SIMULATED
2.25375,-14.874911120236153,C01-S001,C01-S001-M01,Normal,SIMULATED
2.2575,-14.910376768454462,C01-S001,C01-S001-M01,Normal,SIMULATED
2.26125,-14.732321699226878,C01-S001,C01-S001-M01,Normal,SIMULATED
2.265,-14.494828467294196,C01-S001,C01-S001-M01,Normal,SIMULATED
2.26875,-14.047289763928749,C01-S001,C01-S001-M01,Normal,SIMULATED
2.2725,-14.649346580087979,C01-S001,C01-S001-M01,Normal,SIMULATED
2.27625,-14.173619345167056,C01-S001,C01-S001-M01,Normal,SIMULATED
2.2800000000000002,-14.261534281506615,C01-S001,C01-S001-M01,Normal,SIMULATED
2.28375,-14.15021075205108,C01-S001,C01-S001-M01,Normal,SIMULATED
2.2875,-13.688889861734449,C01-S001,C01-S001-M01,Normal,SIMULATED
2.29125,-13.768285345693844,C01-S001,C01-S001-M01,Normal,SIMULATED
2.295,-13.470690828578876,C01-S001,C01-S001-M01,Normal,SIMULATED
2.29875,-13.86261718541328,C01-S001,C01-S001-M01,Normal,SIMULATED
2.3025,-13.971532457409275,C01-S001,C01-S001-M01,Normal,SIMULATED
2.30625,-13.778473264501367,C01-S001,C01-S001-M01,Normal,SIMULATED
2.31,-13.589157747399545,C01-S001,C01-S001-M01,Normal,SIMULATED
2.3137499999999998,-13.561487061158894,C01-S001,C01-S001-M01,Normal,SIMULATED
2.3175,-13.894218789542203,C01-S001,C01-S001-M01,Normal,SIMULATED
2.32125,-13.498015037005437,C01-S001,C01-S001-M01,Normal,SIMULATED
2.325,-13.414691297438498,C01-S001,C01-S001-M01,Normal,SIMULATED
2.32875,-12.687573264750126,C01-S001,C01-S001-M01,Normal,SIMULATED
2.3325,-12.840993930683279,C01-S001,C01-S001-M01,Normal,SIMULATED
2.3362499999999997,-13.622746123750431,C01-S001,C01-S001-M01,Normal,SIMULATED
2.34,-13.417125933749201,C01-S001,C01-S001-M01,Normal,SIMULATED
2.34375,-13.735412224290025,C01-S001,C01-S001-M01,Normal,SIMULATED
2.3475,-13.440311600482229,C01-S001,C01-S001-M01,Normal,SIMULATED
2.35125,-13.136311178748167,C01-S001,C01-S001-M01,Normal,SIMULATED
2.355,-12.838227473090829,C01-S001,C01-S001-M01,Normal,SIMULATED
2.35875,-13.388724253070942,C01-S001,C01-S001-M01,Normal,SIMULATED
2.3625,-13.337213068885932,C01-S001,C01-S001-M01,Normal,SIMULATED
2.36625,-13.757013301792,C01-S001,C01-S001-M01,Normal,SIMULATED
2.37,-13.134307467665161,C01-S001,C01-S001-M01,Normal,SIMULATED
2.37375,-13.377676432156939,C01-S001,C01-S001-M01,Normal,SIMULATED
2.3775,-13.19193493267253,C01-S001,C01-S001-M01,Normal,SIMULATED
2.38125,-13.270965861547184,C01-S001,C01-S001-M01,Normal,SIMULATED
2.385,-13.011595165146353,C01-S001,C01-S001-M01,Normal,SIMULATED
2.38875,-13.486602486075416,C01-S001,C01-S001-M01,Normal,SIMULATED
2.3925,-13.3758823408111,C01-S001,C01-S001-M01,Normal,SIMULATED
2.39625,-12.273958999105284,C01-S001,C01-S001-M01,Normal,SIMULATED
2.4,-13.276370104586729,C01-S001,C01-S001-M01,Normal,SIMULATED
2.40375,-13.197005232092954,C01-S001,C01-S001-M01,Normal,SIMULATED
2.4074999999999998,-12.295111889733256,C01-S001,C01-S001-M01,Normal,SIMULATED
2.41125,-11.953250399729361,C01-S001,C01-S001-M01,Normal,SIMULATED
2.415,-13.155175307876556,C01-S001,C01-S001-M01,Normal,SIMULATED
2.41875,-12.893450772866244,C01-S001,C01-S001-M01,Normal,SIMULATED
2.4225,-12.660105862710893,C01-S001,C01-S001-M01,Normal,SIMULATED
2.42625,-12.223878839109704,C01-S001,C01-S001-M01,Normal,SIMULATED
2.4299999999999997,-13.018777275326482,C01-S001,C01-S001-M01,Normal,SIMULATED
2.43375,-12.776852909474293,C01-S001,C01-S001-M01,Normal,SIMULATED
2.4375,-12.450939702652155,C01-S001,C01-S001-M01,Normal,SIMULATED
2.44125,-12.534912820037896,C01-S001,C01-S001-M01,Normal,SIMULATED
2.445,-12.759733139609544,C01-S001,C01-S001-M01,Normal,SIMULATED
2.44875,-12.668934107102487,C01-S001,C01-S001-M01,Normal,SIMULATED
2.4525,-13.023532663525657,C01-S001,C01-S001-M01,Normal,SIMULATED
2.45625,-12.665190398006608,C01-S001,C01-S001-M01,Normal,SIMULATED
2.46,-12.65675152748441,C01-S001,C01-S001-M01,Normal,SIMULATED
2.46375,-12.490731999191828,C01-S001,C01-S001-M01,Normal,SIMULATED
2.4675,-12.711010405574545,C01-S001,C01-S001-M01,Normal,SIMULATED
2.47125,-12.387495165311448,C01-S001,C01-S001-M01,Normal,SIMULATED
2.475,-12.210237804312182,C01-S001,C01-S001-M01,Normal,SIMULATED
2.47875,-12.453109353178162,C01-S001,C01-S001-M01,Normal,SIMULATED
2.4825,-12.380527063800674,C01-S001,C01-S001-M01,Normal,SIMULATED
2.48625,-12.457095634517753,C01-S001,C01-S001-M01,Normal,SIMULATED
2.49,-12.460721147668567,C01-S001,C01-S001-M01,Normal,SIMULATED
2.49375,-12.665678594345884,C01-S001,C01-S001-M01,Normal,SIMULATED
2.4975,-12.343533117124807,C01-S001,C01-S001-M01,Normal,SIMULATED
2.5012499999999998,-12.457788009520145,C01-S001,C01-S001-M01,Normal,SIMULATED
2.505,-11.79166681466717,C01-S001,C01-S001-M01,Normal,SIMULATED
2.50875,-11.939563529240505,C01-S001,C01-S001-M01,Normal,SIMULATED
2.5125,-12.288746621311978,C01-S001,C01-S001-M01,Normal,SIMULATED
2.51625,-12.627363453159214,C01-S001,C01-S001-M01,Normal,SIMULATED
2.52,-12.727163422107335,C01-S001,C01-S001-M01,Normal,SIMULATED
2.5237499999999997,-12.0321660629244,C01-S001,C01-S001-M01,Normal,SIMULATED
2.5275,-12.30784876827638,C01-S001,C01-S001-M01,Normal,SIMULATED
2.53125,-12.240902599188875,C01-S001,C01-S001-M01,Normal,SIMULATED
2.535,-12.907702769456769,C01-S001,C01-S001-M01,Normal,SIMULATED
2.5387500000000003,-12.106575950108738,C01-S001,C01-S001-M01,Normal,SIMULATED
2.5425,-12.250037252550724,C01-S001,C01-S001-M01,Normal,SIMULATED
2.5462499999999997,-12.722084289186636,C01-S001,C01-S001-M01,Normal,SIMULATED
2.55,-12.533983116970933,C01-S001,C01-S001-M01,Normal,SIMULATED
2.55375,-12.317883592316536,C01-S001,C01-S001-M01,Normal,SIMULATED
2.5575,-12.386536900709801,C01-S001,C01-S001-M01,Normal,SIMULATED
2.5612500000000002,-12.4958918554311,C01-S001,C01-S001-M01,Normal,SIMULATED
2.565,-12.445792910067679,C01-S001,C01-S001-M01,Normal,SIMULATED
2.5687499999999996,-12.497221348051033,C01-S001,C01-S001-M01,Normal,SIMULATED
2.5725,-12.382927095914152,C01-S001,C01-S001-M01,Normal,SIMULATED
2.57625,-11.994290379906337,C01-S001,C01-S001-M01,Normal,SIMULATED
2.58,-13.2125209742835,C01-S001,C01-S001-M01,Normal,SIMULATED
2.58375,-12.519860359362813,C01-S001,C01-S001-M01,Normal,SIMULATED
2.5875,-12.401371598431375,C01-S001,C01-S001-M01,Normal,SIMULATED
2.59125,-12.370021954626251,C01-S001,C01-S001-M01,Normal,SIMULATED
2.5949999999999998,-12.573602418641013,C01-S001,C01-S001-M01,Normal,SIMULATED
2.59875,-12.990713335751138,C01-S001,C01-S001-M01,Normal,SIMULATED
2.6025,-12.36519339581191,C01-S001,C01-S001-M01,Normal,SIMULATED
2.60625,-11.943300528702276,C01-S001,C01-S001-M01,Normal,SIMULATED
2.61,-12.917421901553276,C01-S001,C01-S001-M01,Normal,SIMULATED
2.61375,-12.191584583146842,C01-S001,C01-S001-M01,Normal,SIMULATED
2.6174999999999997,-12.540385891361343,C01-S001,C01-S001-M01,Normal,SIMULATED
2.62125,-12.448911774612487,C01-S001,C01-S001-M01,Normal,SIMULATED
2.625,-12.732678462035068,C01-S001,C01-S001-M01,Normal,SIMULATED
2.62875,-12.50111796257823,C01-S001,C01-S001-M01,Normal,SIMULATED
2.6325000000000003,-11.99253644000614,C01-S001,C01-S001-M01,Normal,SIMULATED
2.63625,-12.187481744694557,C01-S001,C01-S001-M01,Normal,SIMULATED
2.6399999999999997,-11.820474578201022,C01-S001,C01-S001-M01,Normal,SIMULATED
2.64375,-11.96322751884195,C01-S001,C01-S001-M01,Normal,SIMULATED
2.6475,-12.1596557416896,C01-S001,C01-S001-M01,Normal,SIMULATED
2.65125,-11.742047877990148,C01-S001,C01-S001-M01,Normal,SIMULATED
2.6550000000000002,-12.106566457916836,C01-S001,C01-S001-M01,Normal,SIMULATED
2.65875,-11.96236576503643,C01-S001,C01-S001-M01,Normal,SIMULATED
2.6624999999999996,-12.27195644274455,C01-S001,C01-S001-M01,Normal,SIMULATED
2.66625,-12.135219005155534,C01-S001,C01-S001-M01,Normal,SIMULATED
2.67,-12.336813444312543,C01-S001,C01-S001-M01,Normal,SIMULATED
2.67375,-11.803530606899768,C01-S001,C01-S001-M01,Normal,SIMULATED
2.6775,-12.427319017991143,C01-S001,C01-S001-M01,Normal,SIMULATED
2.68125,-11.813310087395118,C01-S001,C01-S001-M01,Normal,SIMULATED
2.685,-12.080300962984687,C01-S001,C01-S001-M01,Normal,SIMULATED
2.6887499999999998,-11.647839421232252,C01-S001,C01-S001-M01,Normal,SIMULATED
2.6925,-11.751169697441593,C01-S001,C01-S001-M01,Normal,SIMULATED
2.69625,-11.408632514115567,C01-S001,C01-S001-M01,Normal,SIMULATED
2.7,-11.715219603945224,C01-S001,C01-S001-M01,Normal,SIMULATED
2.70375,-12.386952185304152,C01-S001,C01-S001-M01,Normal,SIMULATED
2.7075,-11.917593449153175,C01-S001,C01-S001-M01,Normal,SIMULATED
2.7112499999999997,-12.232559112038755,C01-S001,C01-S001-M01,Normal,SIMULATED
2.715,-12.021162926557974,C01-S001,C01-S001-M01,Normal,SIMULATED
2.71875,-11.39828491812473,C01-S001,C01-S001-M01,Normal,SIMULATED
2.7225,-11.647591078574822,C01-S001,C01-S001-M01,Normal,SIMULATED
2.7262500000000003,-12.036914639465842,C01-S001,C01-S001-M01,Normal,SIMULATED
2.73,-12.120878390068444,C01-S001,C01-S001-M01,Normal,SIMULATED
2.7337499999999997,-11.797551255529166,C01-S001,C01-S001-M01,Normal,SIMULATED
2.7375,-12.164019116061862,C01-S001,C01-S001-M01,Normal,SIMULATED
2.74125,-11.993044958760306,C01-S001,C01-S001-M01,Normal,SIMULATED
2.745,-11.69168003918841,C01-S001,C01-S001-M01,Normal,SIMULATED
2.7487500000000002,-11.433137181639568,C01-S001,C01-S001-M01,Normal,SIMULATED
2.7525,-11.592356574306748,C01-S001,C01-S001-M01,Normal,SIMULATED
2.7562499999999996,-12.45837000464169,C01-S001,C01-S001-M01,Normal,SIMULATED
2.76,-11.67635240494108,C01-S001,C01-S001-M01,Normal,SIMULATED
2.76375,-11.743349968301677,C01-S001,C01-S001-M01,Normal,SIMULATED
2.7675,-11.638646423989384,C01-S001,C01-S001-M01,Normal,SIMULATED
2.77125,-11.276297998917943,C01-S001,C01-S001-M01,Normal,SIMULATED
2.775,-12.378912567669675,C01-S001,C01-S001-M01,Normal,SIMULATED
2.77875,-11.93642492883708,C01-S001,C01-S001-M01,Normal,SIMULATED
2.7824999999999998,-11.581288455622651,C01-S001,C01-S001-M01,Normal,SIMULATED
2.78625,-12.232761050441809,C01-S001,C01-S001-M01,Normal,SIMULATED
2.79,-11.315420029418847,C01-S001,C01-S001-M01,Normal,SIMULATED
2.79375,-11.647764637710047,C01-S001,C01-S001-M01,Normal,SIMULATED
