frequency_ghz,s11_db,s21_db,sample_id,measurement_id,label,data_source
1.68375,-11.889838096025068,-3.4571259388735798,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.6875,-11.941886573340966,-3.2433001019810703,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.69125,-11.835075808648021,-3.7110613729938375,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.695,-11.30717442449049,-3.4351499654279203,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.69875,-12.019342664817058,-3.528756391018648,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.7025,-11.473856514768356,-3.45515025819737,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.70625,-12.274753482725071,-3.7389092547075276,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.71,-11.876710418824969,-3.929279152898147,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.71375,-11.734563520463238,-4.054646005430889,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.7175,-11.615450167952039,-3.835108138534531,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.72125,-11.586648359409116,-3.6872761046497837,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.725,-11.571471262177896,-3.658262446716845,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.72875,-11.924297777136113,-3.1340990772842323,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.7325,-11.969320970329028,-3.3451603267597565,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.73625,-11.58487142165014,-3.8534804417138706,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.74,-11.911999680525437,-3.5515127861473346,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.74375,-12.250334490555794,-3.7454381865447086,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.7475,-12.22129031597782,-3.7291428756889946,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.75125,-12.171448907278897,-3.6299395711132743,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.755,-11.7613846412871,-3.5396906600209,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.75875,-11.883311391917326,-3.7839247605771344,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.7625,-11.73496143703661,-3.461710924526704,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.7662499999999999,-12.08688665040048,-4.005938638526664,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.77,-11.928262050018512,-3.745479401248628,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.77375,-11.80574192068916,-3.138958623297004,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.7774999999999999,-12.10427213068656,-3.7245156439864755,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.78125,-11.892910306687599,-3.449975038275088,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.785,-12.247392033901884,-3.7880927479289612,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.78875,-12.17696917593439,-3.6869833166942207,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.7925,-12.202151031579456,-3.8564928186196172,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.7962500000000001,-12.466266382203832,-3.9004220301348096,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.8,-11.98158600223116,-4.06340512855049,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.80375,-12.288910423906968,-3.7899894047402958,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.8075,-12.164972599608761,-4.114671771674418,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.81125,-12.045317746658231,-3.767693857150116,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.815,-12.076564093197005,-3.6841690381678847,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.81875,-12.032021846060216,-3.873928141352545,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.8225,-12.282401170939096,-4.0478895974684495,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.82625,-12.40114001071409,-3.8875515065865187,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.83,-12.31941119778651,-4.087900315930891,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.83375,-12.823065742736594,-3.806588744485941,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.8375,-12.772368483684431,-4.487928594985839,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.84125,-12.756389855242652,-4.1461624547091525,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.845,-12.680052557740748,-4.56057690013412,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.84875,-12.282176755762132,-4.458687757559046,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.8525,-12.694895258533258,-3.789549944985966,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.85625,-12.55773631529586,-3.9189363945318503,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.8599999999999999,-12.075431595950489,-4.323248624124273,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.86375,-12.592853032404333,-4.527844853937396,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.8675,-12.28534058115368,-4.895270075414197,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.8712499999999999,-12.807137893447292,-4.330621111631423,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.875,-12.608967321835696,-3.63553404803158,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.87875,-12.852444479983301,-4.1281589714158535,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.8825,-12.689062259401839,-4.382767020494369,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.88625,-12.354983540710807,-4.152625905858704,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.8900000000000001,-13.14480370500405,-4.654485013242185,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.89375,-12.51562116107527,-4.366655519003552,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.8975,-12.593780887105078,-4.286699322326173,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.90125,-12.862318566935926,-4.346348633408677,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.905,-13.136690285145416,-4.150839029412719,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.90875,-12.699872044887313,-4.2727075137160835,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.9125,-12.89884929492718,-4.209661747506063,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.91625,-12.688558594736762,-4.54976217767855,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.92,-12.770054794146967,-4.183434228832295,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.92375,-12.314237262917143,-4.022197074043751,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.9275,-12.884675083750443,-4.66009705917126,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.93125,-13.137980542461948,-4.6543285506920595,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.935,-12.795208446884116,-4.134630614495611,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.93875,-12.801083518834186,-4.515012883878965,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.9425,-12.477486911387498,-4.145997968998578,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.94625,-12.65298063460349,-4.60292259009673,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.95,-12.814877760080424,-4.1612987262677334,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.9537499999999999,-12.501574816117891,-4.492769793041128,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.9575,-13.316073257876228,-4.476215390075242,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.96125,-13.170554259856766,-4.176596974774632,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.9649999999999999,-13.276148818743499,-4.65299791986127,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.96875,-13.13508918631606,-4.806222115242725,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.9725,-13.451608660273246,-4.70235725241409,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.97625,-12.869067010341738,-4.5006947794745775,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.98,-13.147911141523112,-4.999830755521377,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.98375,-13.544813507159386,-4.486127927398826,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.9875,-13.431343514977096,-4.783816880700847,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.99125,-13.056563167207818,-4.394787268420949,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.995,-12.924057413317808,-5.261037765867858,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
1.99875,-12.602368412810979,-4.891790592563088,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.0025,-12.354221502081458,-5.124858546673401,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.00625,-13.13223835352331,-4.936030987962306,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.01,-13.58288185211021,-4.6965116195154515,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.01375,-13.956463189445634,-4.8178153970512465,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.0175,-13.268826831549553,-4.855144103649216,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.02125,-13.62686864428349,-4.852802465049927,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.025,-13.543087663743163,-4.7868309614633855,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.02875,-13.639344271584228,-5.099569340559514,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.0324999999999998,-13.537018949722432,-4.7106323109592445,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.03625,-13.215974741517453,-4.744918366200881,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.04,-13.531647892385209,-4.836203468827285,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.04375,-13.671434728586663,-4.820715242727752,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.0475,-13.981786569004118,-4.909871228311266,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.05125,-14.22297518367314,-4.520417735074946,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.0549999999999997,-13.918237147542222,-5.058690998148878,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.05875,-13.842599395397325,-5.141599530035275,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.0625,-13.352589555591319,-5.280038283359943,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.06625,-13.902798549116461,-5.3794236140538505,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.07,-13.708387779575862,-5.464047225676304,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.07375,-14.216732193984242,-5.413581617794738,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.0775,-14.488532719478838,-5.2533202815262685,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.08125,-14.491005318598782,-5.1933788578526086,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.085,-14.489688295982758,-5.2997162086117395,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.08875,-13.706343487654996,-5.535174184334456,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.0925000000000002,-14.666028702654103,-5.175861972913747,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.09625,-14.244572605859492,-5.255825240317573,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.1,-14.84505720126231,-5.513788305598119,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.10375,-14.374052619451264,-5.675043796203319,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.1075,-14.618359404455191,-5.430125983022664,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.11125,-14.861774533493028,-5.560401822748179,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.115,-14.908166367862526,-5.997000743877201,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.11875,-15.17329643556148,-5.709651538755919,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.1225,-14.923237072939882,-5.674046844128632,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.1262499999999998,-15.27249525703464,-5.9959158358399245,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.13,-15.58079617389181,-5.776657991622883,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.13375,-15.67118160734532,-6.212494655384891,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.1375,-15.307657029204284,-5.5823512296635895,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.14125,-14.953647637278506,-5.641497451750841,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.145,-15.442985639276614,-6.037537367114666,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.1487499999999997,-15.585215872695171,-5.923281465008723,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.1525,-15.516939358381965,-6.619820409962289,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.15625,-15.257795014072602,-6.346961494004284,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.16,-15.624007910249299,-6.164757073288829,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.16375,-15.846182751264895,-6.372960636624657,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.1675,-15.416565790071084,-5.961988489800681,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.17125,-15.637536129952844,-5.668135382542432,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.175,-15.315101119895065,-6.4400625326819165,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.17875,-15.722368408856932,-6.364946676486144,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.1825,-16.138031480698437,-6.109817170961203,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.1862500000000002,-16.166430462988476,-5.778162312772818,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.19,-15.238135190451686,-6.452937610958914,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.19375,-15.186177007964524,-6.090910880189426,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.1975,-15.71980698512367,-5.701237502286498,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.20125,-15.7368472595008,-6.519219174004615,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.205,-15.133179551121874,-6.411730002384781,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.20875,-15.847796049769004,-6.184718522128877,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.2125,-15.723118889256202,-6.184368432182809,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.21625,-15.196293047535347,-5.838673972731362,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.2199999999999998,-15.438466401162783,-5.948173951193902,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.22375,-15.249246948633449,-6.403144465503566,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.2275,-15.221814767544492,-5.823240989539706,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.23125,-14.994618082626637,-6.054425227652817,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.235,-14.595351834126635,-5.578186186254291,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.23875,-14.911248059119112,-6.002526086411089,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.2424999999999997,-14.665673201833052,-5.97239088385818,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.24625,-15.394381326242684,-5.657487562068188,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.25,-14.714857951791505,-5.572259608998568,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.25375,-14.874911120236153,-5.616234644472013,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.2575,-14.910376768454462,-6.097296991121852,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.26125,-14.732321699226878,-5.5332828321722225,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.265,-14.494828467294196,-5.881088331396265,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.26875,-14.047289763928749,-5.547701839054083,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.2725,-14.649346580087979,-5.918115478110169,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.27625,-14.173619345167056,-5.442541296616557,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.2800000000000002,-14.261534281506615,-5.717506324737093,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.28375,-14.15021075205108,-5.807066638843347,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.2875,-13.688889861734449,-5.304288525194382,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.29125,-13.768285345693844,-5.395042311157848,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.295,-13.470690828578876,-5.5788760639220225,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.29875,-13.86261718541328,-5.062761064855104,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.3025,-13.971532457409275,-5.49733885268378,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.30625,-13.778473264501367,-5.365403373332078,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.31,-13.589157747399545,-5.291053813652176,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.3137499999999998,-13.561487061158894,-5.487718145378376,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.3175,-13.894218789542203,-5.210214040467786,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.32125,-13.498015037005437,-5.43644640293862,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.325,-13.414691297438498,-5.393142719984943,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.32875,-12.687573264750126,-4.954004467414888,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.3325,-12.840993930683279,-5.518182367968612,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.3362499999999997,-13.622746123750431,-5.835582040312681,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.34,-13.417125933749201,-4.8585893686595245,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.34375,-13.735412224290025,-4.622658403708702,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.3475,-13.440311600482229,-5.321585713265595,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.35125,-13.136311178748167,-5.679486071054493,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.355,-12.838227473090829,-5.279944809730665,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.35875,-13.388724253070942,-5.265327121312182,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.3625,-13.337213068885932,-5.233804453432953,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.36625,-13.757013301792,-5.447373710701693,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.37,-13.134307467665161,-5.033318809402623,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.37375,-13.377676432156939,-5.0390678272364,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.3775,-13.19193493267253,-5.516396327002434,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.38125,-13.270965861547184,-4.98294641948133,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.385,-13.011595165146353,-4.651323173974529,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.38875,-13.486602486075416,-5.096086327917263,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.3925,-13.3758823408111,-5.211857459982604,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.39625,-12.273958999105284,-5.158656313426077,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.4,-13.276370104586729,-4.970705746409458,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.40375,-13.197005232092954,-5.527620361717993,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.4074999999999998,-12.295111889733256,-5.0667835268426415,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.41125,-11.953250399729361,-5.194001469535232,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.415,-13.155175307876556,-4.650930090740703,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.41875,-12.893450772866244,-5.130385136548869,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.4225,-12.660105862710893,-4.682518332468594,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.42625,-12.223878839109704,-5.3419853613931245,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.4299999999999997,-13.018777275326482,-4.930468608610095,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.43375,-12.776852909474293,-4.989125294099689,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.4375,-12.450939702652155,-5.268772831246006,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.44125,-12.534912820037896,-5.012100256835945,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.445,-12.759733139609544,-4.758204268176908,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.44875,-12.668934107102487,-5.121519605836321,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.4525,-13.023532663525657,-5.444558223329396,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.45625,-12.665190398006608,-5.037467754570984,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.46,-12.65675152748441,-5.244700336530194,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.46375,-12.490731999191828,-5.10526164618624,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.4675,-12.711010405574545,-5.037792578857486,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
2.47125,-12.387495165311448,-5.422827554612415,C01-S001,C01-S001-M01,Unsupported Label,SIMULATED
